,adresse,latitude,longitude,gade,postnr,kommune,antal,beholder,tur,fremsætter,lås,type,sæk,nr,mandag,torsdag,ugentlig
0,"Bakketoppen 10 A, 6000, Kolding, Danmark",55.5246654,9.4618854,Bakketoppen ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,10,True,False,True
1,"Bakketoppen 10 A, 6000, Kolding, Danmark",55.5246654,9.4618854,Bakketoppen ,6000,Kolding,1,"240 l. beh, madaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,10,True,False,True
2,"Bakketoppen 10 A, 6000, Kolding, Danmark",55.5246654,9.4618854,Bakketoppen ,6000,Kolding,1,"400 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,400,False,10,True,False,True
3,"Bjerggade 6, 6000, Kolding, Danmark",55.4862141,9.4647313,Bjerggade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,240,False,6,True,False,False
4,"Bjerggade 8, 6000, Kolding, Danmark",55.48616209999999,9.4646972,Bjerggade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,240,False,8,True,False,False
5,"Bjerggade 10, 6000, Kolding, Danmark",55.48611959999999,9.464682,Bjerggade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,240,False,10,True,False,False
6,"Bjerggade 12, 6000, Kolding, Danmark",55.4860771,9.4646668,Bjerggade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,240,False,12,True,False,False
7,"Bjerggade 14, 6000, Kolding, Danmark",55.486037,9.4646214,Bjerggade ,6000,Kolding,1,"2-delt 370 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,370,False,14,True,False,False
8,"Bjerggade 16, 6000, Kolding, Danmark",55.48599919999999,9.4645458,Bjerggade ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,240,False,16,True,False,False
9,"Bjerggade 18, 6000, Kolding, Danmark",55.48593779999999,9.4644928,Bjerggade ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,240,False,18,True,False,False
10,"Bjerggade 18, 6000, Kolding, Danmark",55.48593779999999,9.4644928,Bjerggade ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,240,False,18,True,False,False
11,"Bjerggade 20, 6000, Kolding, Danmark",55.4858929,9.4645078,Bjerggade ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,240,False,20,True,False,False
12,"Bjerggade 22, 6000, Kolding, Danmark",55.4858268,9.464515300000002,Bjerggade ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,240,False,22,True,False,False
13,"Bjerggade 24, 6000, Kolding, Danmark",55.4857978,9.4645603,Bjerggade ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,240,False,24,True,False,False
14,"Bjerggade 26, 6000, Kolding, Danmark",55.4857087,9.4643488,Bjerggade ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,240,False,26,True,False,False
15,"Bjerggade 28, 6000, Kolding, Danmark",55.4856686,9.4643034,Bjerggade ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,240,False,28,True,False,False
16,"Bjerggade 30, 6000, Kolding, Danmark",55.4856261,9.464288200000002,Bjerggade ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,240,False,30,True,False,False
17,"Bjerggade 32, 6000, Kolding, Danmark",55.4855859,9.4642428,Bjerggade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,240,False,32,True,False,False
18,"Bjerggade 38, 6000, Kolding, Danmark",55.485483,9.4643494,Bjerggade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,240,False,38,True,False,False
19,"Borchs gård 7, 6000, Kolding, Danmark",55.4894763,9.4726688,Borchs gård ,6000,Kolding,1,240 l Mr. Fill mad - intillegent,"Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,7,True,False,True
20,"Borchs gård 7, 6000, Kolding, Danmark",55.4894763,9.4726688,Borchs gård ,6000,Kolding,3,240 l Mr. Fill rest - intillegent,"Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,7,True,False,True
21,"Borchs gård 39, 6000, Kolding, Danmark",55.4895317,9.4735763,Borchs gård ,6000,Kolding,1,240 l Mr. Fill mad - intillegent,"Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,39,True,False,True
22,"Borchs gård 39, 6000, Kolding, Danmark",55.4895317,9.4735763,Borchs gård ,6000,Kolding,5,240 l Mr. Fill rest - intillegent,"Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,39,True,False,True
23,"Fjordvej 105, 6000, Kolding, Danmark",55.4988845,9.5301631,Fjordvej ,6000,Kolding,1,"2-delt 370 l. beh, rest/mad","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,370,False,105,True,False,True
24,"Fredens Vej 2, 6000, Kolding, Danmark",55.4975361,9.4878982,Fredens Vej ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,2,True,False,True
25,"Gl. Strandvej 17, 6000, Kolding, Danmark",55.4995841,9.509644,Gl. Strandvej ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,17,True,False,True
26,"Gl. Strandvej 17, 6000, Kolding, Danmark",55.4995841,9.509644,Gl. Strandvej ,6000,Kolding,1,"400 l. con, madaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,400,False,17,True,False,True
27,"Gl. Strandvej 17, 6000, Kolding, Danmark",55.4995841,9.509644,Gl. Strandvej ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,17,True,False,True
28,"Gramrolighed 1, 6000, Kolding, Danmark",55.495736,9.4765263,Gramrolighed ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,240,False,1,True,False,False
29,"Gramrolighed 2, 6000, Kolding, Danmark",55.4958448,9.4769172,Gramrolighed ,6000,Kolding,1,"660 l. con, rest - sætte frem","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",True,False,660,False,2,True,False,True
30,"Gramrolighed 2, 6000, Kolding, Danmark",55.4958448,9.4769172,Gramrolighed ,6000,Kolding,1,"660 l. con, rest - sætte frem","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",True,False,660,False,2,True,False,True
31,"Gramrolighed 2, 6000, Kolding, Danmark",55.4958448,9.4769172,Gramrolighed ,6000,Kolding,1,"400 l. con, mad - sætte frem","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",True,False,400,False,2,True,False,True
32,"Gramrolighed 3, 6000, Kolding, Danmark",55.495821,9.4765566,Gramrolighed ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,240,False,3,True,False,False
33,"Gramrolighed 5, 6000, Kolding, Danmark",55.495906,9.476587,Gramrolighed ,6000,Kolding,1,"130 l. sæk, resta - sætte frem","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,130,True,5,True,False,False
